,precision,recall,f1-score,support
0,0.7844827586206896,0.6232876712328768,0.6946564885496184,146.0
1,0.3039647577092511,0.711340206185567,0.42592592592592593,97.0
2,0.7227722772277227,0.6822429906542056,0.7019230769230769,107.0
3,0.6125,0.7277227722772277,0.6651583710407241,202.0
4,0.6545454545454545,0.7058823529411765,0.679245283018868,102.0
5,0.8842105263157894,0.8235294117647058,0.8527918781725888,102.0
6,0.6923076923076923,0.8385093167701864,0.7584269662921348,161.0
7,0.5769230769230769,0.43795620437956206,0.49792531120331945,137.0
8,0.816793893129771,0.6184971098265896,0.7039473684210527,173.0
9,0.7207207207207207,0.6106870229007634,0.6611570247933886,131.0
10,0.7976190476190477,0.7362637362637363,0.7657142857142858,182.0
11,0.7837837837837838,0.8405797101449275,0.8111888111888113,207.0
12,0.6875,0.9777777777777777,0.8073394495412843,45.0
13,0.524390243902439,0.3412698412698413,0.4134615384615385,126.0
14,0.9430379746835443,0.7233009708737864,0.8186813186813188,206.0
accuracy,0.6883239171374764,0.6883239171374764,0.6883239171374764,0.6883239171374764
macro avg,0.7003701471659322,0.6932564730175287,0.6838362065285292,2124.0
weighted avg,0.7188982906402652,0.6883239171374764,0.6928145252345549,2124.0
